Location,Item,Quantity,LCL,Date,created_at,Notes
henry,1-toilet-paper,46,24,2023-10-01,2023-10-01,
oak-1,1-toilet-paper,40,24,2023-10-01,2023-10-01,
oak-2,1-toilet-paper,26,24,2023-10-01,2023-10-01,
henry,2-paper-towel,13,5,2023-10-01,2023-10-01,
oak-1,2-paper-towel,17,5,2023-10-01,2023-10-01,
oak-2,2-paper-towel,18,5,2023-10-01,2023-10-01,
henry,3-big-trash-bag,200,14,2023-10-01,2023-10-01,1 roll is 100
oak-1,3-big-trash-bag,25,14,2023-10-01,2023-10-01,1 roll is 100
oak-2,3-big-trash-bag,80,14,2023-10-01,2023-10-01,1 roll is 100
henry,4-small-trash-bag,100,14,2023-10-01,2023-10-01,1 roll is 40
oak-1,4-small-trash-bag,120,14,2023-10-01,2023-10-01,1 roll is 40
oak-2,4-small-trash-bag,40,14,2023-10-01,2023-10-01,1 roll is 40
henry,5-shampoo,3,2,2023-10-01,2023-10-01,
oak-1,5-shampoo,4,2,2023-10-01,2023-10-01,
oak-2,5-shampoo,3,2,2023-10-01,2023-10-01,
henry,6-body-wash,4,2,2023-10-01,2023-10-01,
oak-1,6-body-wash,3,2,2023-10-01,2023-10-01,
oak-2,6-body-wash,2,2,2023-10-01,2023-10-01,
henry,7-hand-soap,8,1,2023-10-01,2023-10-01,
oak-1,7-hand-soap,5,1,2023-10-01,2023-10-01,
oak-2,7-hand-soap,10,1,2023-10-01,2023-10-01,
henry,8-dish-soap,3,1,2023-10-01,2023-10-01,
oak-1,8-dish-soap,3,1,2023-10-01,2023-10-01,
oak-2,8-dish-soap,1.5,1,2023-10-01,2023-10-01,
henry,9-laundry-detergent,2,1,2023-10-01,2023-10-01,
oak-1,9-laundry-detergent,2,1,2023-10-01,2023-10-01,
oak-2,9-laundry-detergent,2,1,2023-10-01,2023-10-01,
henry,10-dishwasher-pod,115,28,2023-10-01,2023-10-01,
oak-1,10-dishwasher-pod,50,28,2023-10-01,2023-10-01,
oak-2,10-dishwasher-pod,100,28,2023-10-01,2023-10-01,
henry,11-coffee-pod,50,1,2023-10-01,2023-10-01,
oak-1,11-coffee-pod,60,1,2023-10-01,2023-10-01,
oak-2,11-coffee-pod,90,1,2023-10-01,2023-10-01,
henry,12-creamer,180,28,2023-10-01,2023-10-01,
oak-1,12-creamer,180,28,2023-10-01,2023-10-01,
oak-2,12-creamer,180,28,2023-10-01,2023-10-01,
henry,13-bath-towel,14,5,2023-10-01,2023-10-01,
oak-1,13-bath-towel,10,5,2023-10-01,2023-10-01,
oak-2,13-bath-towel,5,5,2023-10-01,2023-10-01,
henry,14-hand-towel,4,4,2023-10-01,2023-10-01,
oak-1,14-hand-towel,10,4,2023-10-01,2023-10-01,
oak-2,14-hand-towel,4,4,2023-10-01,2023-10-01,
henry,15-kleenex,15,5,2023-10-01,2023-10-01,
oak-1,15-kleenex,9,5,2023-10-01,2023-10-01,
oak-2,15-kleenex,6,5,2023-10-01,2023-10-01,
henry,16-throw-blanket,2,2,2023-10-01,2023-10-01,2 New Costco Grey Ones
oak-1,16-throw-blanket,2,2,2023-10-01,2023-10-01,2 Costco New Ones
oak-2,16-throw-blanket,2,2,2023-10-01,2023-10-01,2 Costco Grey Ones
henry,17-queen-comforter-costco,2,2,2023-10-01,2023-10-01,two grey ones
oak-1,17-queen-comforter-costco,2,2,2023-10-01,2023-10-01,
oak-2,17-queen-comforter-costco,3,2,2023-10-01,2023-10-01,grey in a bag (Amazon) and 2 grey from Costco
henry,18-queen-comforter-ikea-nocover,0,0,2023-10-01,2023-10-01,
oak-1,18-queen-comforter-ikea-nocover,0,0,2023-10-01,2023-10-01,
oak-2,18-queen-comforter-ikea-nocover,1,0,2023-10-01,2023-10-01,IKEA No Duvet
henry,19-pillow-queen,4,2,2023-10-01,2023-10-01,
oak-1,19-pillow-queen,3,2,2023-10-01,2023-10-01,
oak-2,19-pillow-queen,4,2,2023-10-01,2023-10-01,
henry,20-sheets-queen,1,2,2023-10-01,2023-10-01,
oak-1,20-sheets-queen,3,3,2023-10-01,2023-10-01,
oak-2,20-sheets-queen,2,3,2023-10-01,2023-10-01,2 costco light blue spots
henry,21-sheets-twin,1,2,2023-10-01,2023-10-01,
